Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
128,29,0,20,5,Some Random Commen with Id 128
129,29,0,115,4,Some Random Commen with Id 129
130,29,0,95,6,Some Random Commen with Id 130
131,31,7,19,1,Some Random Commen with Id 131
132,31,7,135,1,Some Random Commen with Id 132
133,31,7,37,4,Some Random Commen with Id 133
134,31,7,176,2,Some Random Commen with Id 134
135,31,7,174,0,Some Random Commen with Id 135
136,31,7,32,8,Some Random Commen with Id 136
137,32,8,162,4,Some Random Commen with Id 137
138,32,8,145,3,Some Random Commen with Id 138
139,32,8,9,6,Some Random Commen with Id 139
140,32,8,178,7,Some Random Commen with Id 140
141,33,7,183,4,Some Random Commen with Id 141
142,33,7,95,9,Some Random Commen with Id 142
143,33,7,124,0,Some Random Commen with Id 143
144,33,7,179,8,Some Random Commen with Id 144
145,33,7,153,1,Some Random Commen with Id 145
146,33,7,167,4,Some Random Commen with Id 146
147,33,7,23,1,Some Random Commen with Id 147
148,34,2,63,9,Some Random Commen with Id 148
149,34,2,57,2,Some Random Commen with Id 149
150,34,2,30,2,Some Random Commen with Id 150
151,34,2,148,5,Some Random Commen with Id 151
152,34,2,189,7,Some Random Commen with Id 152
153,34,2,78,6,Some Random Commen with Id 153
154,34,2,68,7,Some Random Commen with Id 154
155,34,2,93,8,Some Random Commen with Id 155
156,35,1,139,3,Some Random Commen with Id 156
157,35,1,160,9,Some Random Commen with Id 157
158,36,3,148,3,Some Random Commen with Id 158
159,36,3,76,5,Some Random Commen with Id 159
160,36,3,18,1,Some Random Commen with Id 160
161,36,3,86,9,Some Random Commen with Id 161
162,36,3,77,4,Some Random Commen with Id 162
163,36,3,193,3,Some Random Commen with Id 163
164,36,3,67,2,Some Random Commen with Id 164
165,37,6,87,1,Some Random Commen with Id 165
166,37,6,139,1,Some Random Commen with Id 166
167,37,6,177,5,Some Random Commen with Id 167
168,37,6,122,6,Some Random Commen with Id 168
169,37,6,93,1,Some Random Commen with Id 169
170,37,6,127,0,Some Random Commen with Id 170
171,38,2,156,1,Some Random Commen with Id 171
172,38,2,86,1,Some Random Commen with Id 172
173,39,5,185,7,Some Random Commen with Id 173
174,39,5,88,1,Some Random Commen with Id 174
175,39,5,4,4,Some Random Commen with Id 175
176,39,5,114,7,Some Random Commen with Id 176
177,39,5,118,9,Some Random Commen with Id 177
178,39,5,79,3,Some Random Commen with Id 178
179,39,5,66,7,Some Random Commen with Id 179
180,39,5,27,0,Some Random Commen with Id 180
